#no. particle1         E        px        py        pz particle2         E        px        py        pz
47	 W boson	  120.08	 86.2293	0.126784	 22.8654	 W boson	  81.478	 4.94194	 12.3799	0.444346
48	 b quark	 62.9301	 1.93789	 51.4813	-35.8978	 b quark	 76.7129	 70.5248	 15.4732	-25.5778
49	 b quark	 37.3852	 6.65731	 36.4231	 3.03625	 b quark	 21.9752	 7.81507	  8.7197	 18.1199
50	 b quark	 56.2452	-51.5012	 -10.653	-19.4984	 b quark	 67.0549	-48.0125	-3.78668	-46.4688
51	 b quark	 75.3684	 7.68452	-73.8113	 12.4802	 b quark	 84.1999	 80.6128	-2.04772	  23.865
52	 b quark	 12.7232	 7.29811	-0.198756	 9.54495	 b quark	 61.6134	 7.95785	-3.96424	 60.8252
53	tau lepton	 37.3251	-28.2761	-24.2868	-0.787922	tau lepton	  50.519	-22.3052	-44.6937	-7.34557
54	 b quark	 47.7488	-3.52442	-12.0938	-45.8671	 b quark	 30.0656	-2.63894	-6.24407	-28.9916
55	 b quark	  22.893	-4.07709	 22.1272	0.618644	 b quark	 73.5728	-73.1911	 1.42901	 6.04185
56	 b quark	 15.2654	-8.60208	 11.6435	 2.44819	 b quark	 47.8837	-40.8605	 9.82917	 22.5651
57	 W boson	 81.9047	 1.86415	-14.3227	-6.24358	 W boson	 115.564	0.846008	-81.1534	-17.5425
58	 b quark	 79.5453	 71.3688	 30.3972	 17.1021	 b quark	 102.142	 8.47549	 62.8733	 79.9418
59	 b quark	 64.8289	-47.2744	   37.78	 22.8719	 b quark	 42.6549	-37.1571	 3.72629	 20.1849
60	 b quark	 66.9138	-58.0691	-17.3824	 28.0325	 b quark	 7.69443	-2.54069	-5.17565	 2.91365
61	 b quark	 109.055	 76.2388	 1.11898	 77.8583	 b quark	 29.1779	 21.2151	  19.536	  1.4636
62	 b quark	 27.2982	 2.78104	 12.9489	-23.5014	 b quark	 92.2322	 91.4734	 6.54795	 -8.8914
63	 b quark	 58.2534	 11.3887	 41.2776	  39.274	 b quark	  42.852	 11.2505	 15.1258	 38.2552
64	 b quark	 62.4672	 31.5582	-12.3473	-52.3097	 b quark	  28.372	 23.3538	-7.26702	-13.7581
65	 W boson	 105.562	 -14.513	 64.6556	 17.0772	 W boson	 83.0482	-0.983718	 18.6155	 9.41889
66	 b quark	 10.1877	-2.34971	 6.99453	 -5.6455	 b quark	  84.972	-23.6229	 18.0304	-79.4961
67	 b quark	 39.8156	 36.3532	  6.1849	 14.4222	 b quark	 65.1307	 11.4683	  63.249	 9.62198
68	 W boson	 114.219	 30.5895	 47.5546	-58.2071	 W boson	 87.7526	 15.8622	 9.32071	-30.0208
69	 b quark	  26.201	-16.3555	-14.6765	 13.6426	 b quark	 82.6581	-80.1742	-19.1453	 4.52097
70	 b quark	 97.7493	-77.6739	 58.5851	-8.48563	 b quark	 28.6242	-11.0806	 26.0564	-0.397333
71	 W boson	 87.3194	-22.4168	 2.18828	-25.6241	 W boson	 116.121	-49.8419	 30.6302	-60.0073
72	 W boson	 105.289	   25.21	-34.9869	 52.5874	 W boson	  109.64	 73.0956	-14.4797	 2.74299
73	 b quark	 15.3257	 10.1642	 1.23626	-10.6096	 b quark	 92.9276	 43.3114	 15.9146	-80.5539
74	 b quark	 50.5378	 13.8005	 4.53896	-48.2238	 b quark	 76.6074	 50.4169	 54.3972	-18.7164
75	 b quark	 30.5031	 1.41088	 30.1759	0.625738	 b quark	 64.6551	 19.2446	 12.6206	 60.2758
76	 b quark	 31.5017	 6.95635	-1.45686	 30.4035	 b quark	 62.1797	 33.4554	-0.271818	 52.2446
77	 W boson	 96.2797	 8.25323	 28.2315	 44.0892	 W boson	 97.6676	 4.31955	 50.3624	 22.8723
78	 W boson	 104.694	 11.1793	-24.7512	-61.3394	 W boson	 121.438	 81.1351	-38.5615	-14.7141
79	 b quark	 59.4934	-58.0465	-9.51086	-7.88291	 b quark	 76.1846	-14.4854	-74.6366	-2.48538
80	 b quark	 25.4397	 21.3286	 6.98603	 11.2247	 b quark	 53.7735	  47.912	 21.5495	 10.6856
81	 b quark	 107.931	 -56.372	 91.9442	-0.0306818	 b quark	  19.438	-2.12233	 4.18969	-18.3931
82	 W boson	 82.2784	  15.256	 -8.6129	 1.42024	 W boson	 101.064	 42.2865	-44.3271	0.418904
83	tau lepton	 31.5988	 3.40304	-7.16768	 30.5347	tau lepton	 65.8451	 2.70658	-24.5609	  61.007
84	tau lepton	 56.8139	-11.1814	-1.58344	-55.6518	tau lepton	 75.7181	-67.9563	-0.224706	-33.3462
85	 b quark	 72.6072	 27.4043	-56.6237	 36.0151	 b quark	 61.3628	 6.84967	-13.4654	  59.327
